date_qtr,revenue_m
3/31/2005,1902
6/30/2005,1753
9/30/2005,1858
12/31/2005,2977
3/31/2006,2279
6/30/2006,2139
9/30/2006,2307
12/31/2006,3986
3/31/2007,3015
6/30/2007,2886
9/30/2007,3262
12/31/2007,5672
3/31/2008,4135
6/30/2008,4063
9/30/2008,4264
12/31/2008,6704
3/31/2009,4889
6/30/2009,4651
9/30/2009,5449
12/31/2009,9520
3/31/2010,7131
6/30/2010,6566
9/30/2010,7560
12/31/2010,12947
3/31/2011,9857
6/30/2011,9913
9/30/2011,10876
12/31/2011,17431
3/31/2012,13185
6/30/2012,12834
9/30/2012,13806
12/31/2012,21268
3/31/2013,16070
6/30/2013,15704
9/30/2013,17092
12/31/2013,25586
3/31/2014,19741
6/30/2014,19340
9/30/2014,20579
12/31/2014,29328
3/31/2015,22717
6/30/2015,23185
9/30/2015,25358
12/31/2015,35746
3/31/2016,29128
6/30/2016,30404
9/30/2016,32714
12/31/2016,43741
3/31/2017,35714
6/30/2017,37955
9/30/2017,43744
12/31/2017,60453
3/31/2018,51042
6/30/2018,52886
9/30/2018,56576
12/31/2018,72383
3/31/2019,59700
